Codi_centre;Denominació_completa;Nom_naturalesa;Nom_municipi
08070672;A. Hospitalària Hospital de Dia de Salut Mental per Adolescents;Públic;Barcelona
08070684;CFA El Roure;Públic;Polinyà
08070702;Escola Bressol Municipal El Teler;Públic;Granollers
08070726;LLI privada Petita Mimosa;Privat;Terrassa
08070799;Escola Tiziana;Públic;Tiana
08070842;LLI privada Petit Singuerlín;Privat;Santa Coloma de Gramenet
08070866;Escola Bressol Creu Alta;Públic;Sabadell
08070878;Escola Bressol Can Puiggener;Públic;Sabadell
08070891;Esc. de Música Accent;Privat;Barcelona
08070908;Institut Escola La Tordera;Públic;Santa Maria de Palautordera
08070921;Escola Bressol Galatea;Públic;Barcelona
08070933;Escola Bressol Collserola;Públic;Barcelona
08070945;Escola Bressol Can Canet;Públic;Barcelona
08070957;Escola Bressol La Fassina;Públic;Barcelona
08070969;Esc. de Música Municipal L'Oriola;Públic;Sant Vicenç de Montalt
08070970;LLI privada Fantasia;Privat;Sant Adrià de Besòs
08070982;Llar d'infants Marta Mata;Públic;Canovelles
08070994;Llar d'infants L'Espígol;Públic;Igualada
08071007;Escola Bressol La Petjada;Públic;Arenys de Munt
08071020;Escola Enxaneta;Públic;Viladecans
08071032;Llar d'infants La Ginesta;Públic;Sant Esteve Sesrovires
08071044;Escola Bressol La Rosa dels Vents;Públic;Cornellà de Llobregat
08071056;Escola Bressol Els Garrofers;Públic;Mataró
08071068;Escola Bressol Els Picarols;Públic;Manlleu
08071071;LLI privada Ninis;Privat;Canet de Mar
08071081;Llar d'infants La Llum;Públic;Manresa
08071101;CFA El Masnou;Públic;El Masnou
08071111;Escola Bressol La Casa dels Infants Granvia Mar;Públic;Castelldefels
08071123;Escola Bressol La Casa dels Contes;Públic;L'Hospitalet de Llobregat
08071135;Escola Bressol La Casa del Parc;Públic;L'Hospitalet de Llobregat
08071147;Escola Roser Capdevila;Públic;Sant Joan Despí
08071196;Institut Can Roca;Públic;Terrassa
08071202;LLI privada El Camí Feliç Sant Gervasi;Privat;Barcelona
08071214;Institut Escola Castellterçol;Públic;Castellterçol
08071226;Institut Escola Costa i Llobera;Públic;Barcelona
08071238;Institut Escola Jacint Verdaguer;Públic;Sant Sadurní d'Anoia
08071275;Escola Bressol Casa Estrada;Públic;Sant Andreu de la Barca
08071299;Escola Bressol Municipal l'Esquirol;Públic;Santa Coloma de Gramenet
08071330;Escola Bressol Cal Trempat;Públic;Vilanova del Vallès
08071354;Gremial d'Electricitat i Fontaneria de Barcelona;Privat;Barcelona
08071366;Lingo Món;Privat;Vilafranca del Penedès
08071381;Escola Bressol Can Casamada;Públic;Montcada i Reixac
08071391;CFA Centelles;Públic;Centelles
08071408;El Seminari;Privat;Vic
08071411;Escola Bressol La Granota;Públic;El Prat de Llobregat
08071469;Escola Bressol La Camparra;Públic;Montseny
08071470;Esc. de Música Municipal de Mataró;Públic;Mataró
08071494;Llar d'infants La Barqueta;Públic;El Masnou
08071500;Llar d'infants El Cauet;Públic;Alpens
08071512;A. Hospitalària Hospital de dia;Públic;Granollers
08071524;Llar d'infants La Baldufa;Públic;Olesa de Montserrat
08071536;Escola Bressol Uni dori;Públic;Badalona
08071548;Esc. de Música Municipal de Cabrils;Públic;Cabrils
08071561;LLI privada Picafort;Privat;Barcelona
08071573;Esc.Sup.Disseny ESDAP - Catalunya;Públic;Barcelona
08071597;Escola de Dansa Stils;Privat;Sabadell
08071627;LLI privada Mimos;Privat;Barcelona
08071640;LLI privada Els Menuts de la Pineda;Privat;Gavà
08071652;Escola Bressol Municipal Giravoltes;Públic;Granollers
08071664;Escola Bressol L'Esquirol;Públic;L'Esquirol
08071688;Esc. de Música Municipal de Palau;Públic;Santa Maria de Palautordera
08071691;Institut Escola del Prat;Públic;El Prat de Llobregat
08071718;LLI privada El Trenet Tutu;Privat;Cubelles
08071779;Campus 25;Privat;Barcelona
08071780;LLI privada El Camí Feliç Sant Cugat;Privat;Sant Cugat del Vallès
08071792;Escola Bressol Sentmenuts;Públic;Sentmenat
08071809;Llar d'infants La Cabanya;Públic;Torelló
08071822;Escola Bressol Municipal Colobrers;Públic;Castellar del Vallès
08071858;Escola Bressol Marta Mata;Públic;Esplugues de Llobregat
08071871;Escola Bressol La Casa de les Flors;Públic;L'Hospitalet de Llobregat
08071883;Escola Bressol municipal El Clot de la Mel;Públic;Barcelona
08071895;Escola Bressol municipal El Fil;Públic;Barcelona
08071901;Escola Bressol municipal El Gronxador;Públic;Barcelona
08071913;Escola Bressol municipal Pla de Fornells;Públic;Barcelona
08071925;Escola Bressol municipal Guinbó;Públic;Barcelona
08071937;Escola Bressol El Gat Negre;Públic;Barcelona
08071949;Escola Bressol municipal Icària;Públic;Barcelona
08071950;Escola Bressol municipal L'Harmonia;Públic;Barcelona
08071962;Llar d'infants L'Arc de Sant Martí;Públic;Sant Martí de Centelles
08071974;Llar d'infants Petit Heurom;Públic;Perafita
08071986;EB privada El Petit Príncep;Privat;Mataró
08071998;Escola Bressol Petits Exploradors;Privat;Granollers
08072000;LLI privada Bon Dia;Privat;Cerdanyola del Vallès
08072024;Llar d'infants El Cucut;Públic;Vilalba Sasserra
08072036;Escola Bressol municipal La Puput;Públic;Barcelona
08072048;Escola Bressol de Valldoreix;Públic;Sant Cugat del Vallès
08072061;LLI privada Pam i Pipa de Gràcia;Privat;Barcelona
08072073;Llar d'infants La Petita Estelada;Públic;Cànoves i Samalús
